source,target,value
Acanthocystidae,Bicosoecidae,1
Acanthocystidae,Sphingomonadaceae,1
Acanthoecidae,Caulobacteraceae,1
Acanthoecidae,Chlorodendraceae,1
Acanthoecidae,Delesseriaceae,1
Acanthoecidae,Erythrotrichiaceae,1
Acanthoecidae,Euplotidae,1
Acanthoecidae,Mopaliidae,1
Acanthoecidae,Mytilidae,1
Acanthoecidae,Sabellariidae,1
Achnanthaceae,Chilodochonidae,1
Achnanthaceae,Monostromataceae,1
Achnanthaceae,Pyrenomonadaceae,1
Achnanthaceae,Rhagidiidae,1
Achnanthaceae,Ulotrichaceae,1
Actiniidae,Chlorodendraceae,1
Actiniidae,Chordariaceae,1
Actiniidae,Erythrotrichiaceae,1
Actiniidae,Lagenidiaceae,1
Actiniidae,Oithonidae,1
Actiniidae,Palmariaceae,1
Actiniidae,Peronosporaceae,1
Actiniidae,Symbiodiniaceae,1
Actiniidae,Ulvellaceae,1
Aeromonadaceae,Basidiobolaceae,1
Aeromonadaceae,Cymatosiraceae,1
Aeromonadaceae,Eupodiscaceae,1
Aeromonadaceae,Lagenidiaceae,1
Aeromonadaceae,Oceanospirillaceae,1
Aeromonadaceae,Siluaniaceae,1
Aglaopheniidae,Cafeteriaceae,1
Aglaopheniidae,Campanulariidae,1
Aglaopheniidae,Delesseriaceae,1
Aglaopheniidae,Mopaliidae,1
Aglaopheniidae,Mytilidae,1
Allapsidae,Aspergillaceae,1
Allapsidae,Cercomonadidae,1
Allapsidae,Colepidae,1
Allapsidae,Gonostomatidae,1
Allapsidae,Herpotrichiellaceae,1
Allapsidae,Lobulomycetaceae,1
Allapsidae,Loxocephalidae,1
Allapsidae,Mortierellaceae,1
Allapsidae,Philasteridae,1
Allapsidae,Pleosporaceae,1
Allapsidae,Pseudomonadaceae,1
Allapsidae,Pythiaceae,1
Allapsidae,Rhogostomidae,1
Allapsidae,Sphingomonadaceae,1
Allapsidae,Thraustochytriaceae,1
Allapsidae,Vacuolariaceae,1
Alteromonadaceae,Peridiniaceae,1
Amoebidiaceae,Nitrosomonadaceae,1
Amoebidiaceae,Primnoidae,1
Amoebidiaceae,Selenidiidae,1
Amoebidiaceae,Skeletonemataceae,1
Amoebidiaceae,Thecamoebidae,1
Amphidomataceae,Chroomonadaceae,1
Amphidomataceae,Ectothiorhodospiraceae,1
Amphidomataceae,Urechidae,1
Amphileptidae,Litonotidae,1
Amphileptidae,Ulvellaceae,1
Amphipleuraceae,Apusomonadidae,1
Amphisiellidae,Chlamydodontidae,1
Amphisiellidae,Oxytrichidae,1
Ancyromonadidae,Caulobacteraceae,1
Ancyromonadidae,Colpodellidae,1
Ancyromonadidae,Cyphoderiidae,1
Ancyromonadidae,Katablepharidaceae,1
Ancyromonadidae,Opheliidae,1
Ancyromonadidae,Urechidae,1
Apusomonadidae,Amphipleuraceae,1
Apusomonadidae,Cyphoderiidae,1
Apusomonadidae,Epalxellidae,1
Apusomonadidae,Hartmannellidae,1
Apusomonadidae,Paraphysomonadaceae,1
Apusomonadidae,Peridiniaceae,1
Apusomonadidae,Salpingoecidae,1
Apusomonadidae,Stephanopyxidaceae,1
Apusomonadidae,Zosteraceae,1
Aspergillaceae,Allapsidae,1
Aspergillaceae,Chromulinaceae,1
Aspergillaceae,Goniomonadaceae,1
Aspergillaceae,Mortierellaceae,1
Aspergillaceae,Philasteridae,1
Aspergillaceae,Thalassiosiraceae,1
Aspidiscidae,Coelogynoporidae,1
Aspidiscidae,Pfiesteriaceae,1
Aspidiscidae,Plagiocampidae,1
Aspidiscidae,Prorocentraceae,1
Aspidiscidae,Protaspidae,1
Aspidiscidae,Thecamoebidae,1
Bacillariaceae,Catenulaceae,1
Bacillariaceae,Competibacteraceae,1
Bacillariaceae,Mytilidae,1
Bangiaceae,Halymeniaceae,1
Bangiaceae,Olpidiopsidaceae,1
Basidiobolaceae,Aeromonadaceae,1
Basidiobolaceae,Chlamydomonadaceae,1
Basidiobolaceae,Discocephalidae,1
Basidiobolaceae,Gigartinaceae,1
Basidiobolaceae,Leptophryidae,1
Basidiobolaceae,Pleurosigmataceae,1
Basidiobolaceae,Primnoidae,1
Basidiobolaceae,Rhodellaceae,1
Basidiobolaceae,Stauroneidaceae,1
Bicosoecidae,Acanthocystidae,1
